trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
126,False,"{'a': 0.6, 'e': 0.08873565094161139}",20,11,15.586728084409039,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.6, 'e': 0.08838834764831843}",25,9,30.500960539845742,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.6, 'e': 0.08804509063256238}",30,20,-20.244779442521637,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.6, 'e': 0.08770580193070293}",30,16,26.662637005278356,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.6, 'e': 0.0873704056661038}",25,11,27.45376570744076,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.6, 'e': 0.08703882797784893}",25,13,9.02114151116017,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.6, 'e': 0.086710996952412}",20,11,8.898769299957415,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.6, 'e': 0.08638684255813601}",30,18,18.992463424419228,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.6, 'e': 0.08606629658238704}",20,3,26.091956648567685,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.6, 'e': 0.08574929257125441}",25,14,8.226128024196376,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.6, 'e': 0.0854357657716761}",30,16,25.5975424999409,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.6, 'e': 0.08512565307587486}",30,10,28.546456798616298,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.6, 'e': 0.08481889296799709}",20,4,9.49345226518787,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.6, 'e': 0.08451542547285165}",35,18,32.9581407967883,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.6, 'e': 0.0842151921066519}",25,11,27.39240803387452,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.6, 'e': 0.08391813582966891}",25,8,20.968383645000372,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.6, 'e': 0.08362420100070908}",30,0,-0.2712952054172142,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
143,False,"{'a': 0.6, 'e': 0.08333333333333333}",20,0,18.413024589298583,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.6, 'e': 0.08304547985373997}",20,0,31.155740896892283,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.6, 'e': 0.0827605888602368}",30,16,22.775874282408555,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.6, 'e': 0.08247860988423225}",20,0,4.409830715051667,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
147,False,"{'a': 0.6, 'e': 0.08219949365267865}",25,10,15.38282592348452,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.6, 'e': 0.08192319205190406}",25,13,7.201932712676035,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.6, 'e': 0.08164965809277261}",25,11,21.67171291239609,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.6, 'e': 0.08137884587711594}",30,14,25.956664409978217,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.6, 'e': 0.08111071056538127}",20,5,23.161813224026368,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.6, 'e': 0.08084520834544433}",25,7,32.03906151744219,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.6, 'e': 0.08058229640253803}",25,17,16.61722471979422,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.6, 'e': 0.08032193289024989}",35,18,19.484061794876713,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.6, 'e': 0.08006407690254357}",25,20,8.742492552309699,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.6, 'e': 0.07980868844676221}",30,13,29.540137387270775,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.6, 'e': 0.079555728417573}",20,10,15.676906676962082,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.6, 'e': 0.07930515857181442}",30,12,34.41358979636367,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.6, 'e': 0.07905694150420949}",25,11,28.2005215899785,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.6, 'e': 0.07881104062391006}",20,6,22.457439059677593,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.6, 'e': 0.07856742013183861}",30,17,22.73253579514795,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.6, 'e': 0.07832604499879574}",20,0,4.7891403255854925,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
163,False,"{'a': 0.6, 'e': 0.07808688094430304}",20,15,9.285447024482846,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.6, 'e': 0.0778498944161523}",25,7,29.617553390340927,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.6, 'e': 0.07761505257063328}",35,21,28.690819734438616,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.6, 'e': 0.07738232325341368}",20,16,5.748140201271763,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.6, 'e': 0.07715167498104596}",20,11,6.4925637407047425,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.6, 'e': 0.07692307692307693}",25,12,17.71835751629217,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.6, 'e': 0.07669649888473704}",20,7,20.272084626053132,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.6, 'e': 0.07647191129018725}",25,0,26.432442181277928,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
171,False,"{'a': 0.6, 'e': 0.07624928516630233}",20,10,19.009280349851295,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.6, 'e': 0.07602859212697055}",20,11,11.034538171721804,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.6, 'e': 0.07580980435789034}",25,12,2.9840793188353785,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
174,False,"{'a': 0.6, 'e': 0.07559289460184544}",20,14,10.767635828962504,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.6, 'e': 0.07537783614444091}",20,3,32.79937075933008,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.6, 'e': 0.07516460280028289}",20,16,7.059930123237917,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.6, 'e': 0.07495316889958614}",25,13,22.138939591662474,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.6, 'e': 0.07474350927519359}",20,13,4.328788269164681,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.6, 'e': 0.07453559924999299}",20,11,-16.933754241803303,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
180,False,"{'a': 0.6, 'e': 0.07432941462471664}",20,10,17.741476336534575,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.6, 'e': 0.07412493166611012}",20,9,18.49591918303124,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.6, 'e': 0.07392212709545729}",20,16,8.959859143727893,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.6, 'e': 0.07372097807744857}",35,20,13.874565325383458,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.6, 'e': 0.07352146220938077}",30,22,8.128317387586646,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
